,EntryID,Reaction,ECNumber,UniProtKB_AC,Tissue,Organism,Temperature,pH,Buffer,CellularLocation,Enzyme Variant,Enzymename,Activator,Cofactor,Inhibitor,KeggReactionID,KineticMechanismType,Other Modifier,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Pathway,Product,PubMedID,Publication,Rate Equation,SabioReactionID,Substrate
48,17110,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00367,-,Homo sapiens,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
49,17111,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00367,-,Homo sapiens,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
50,17112,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00367,-,Homo sapiens,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
51,17113,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00367,-,Homo sapiens,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
52,17114,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00367,-,Homo sapiens,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
53,17115,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00367,-,Homo sapiens,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
54,17116,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00367,-,Homo sapiens,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
55,17117,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00367,-,Homo sapiens,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
56,17118,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00367,-,Homo sapiens,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
57,21581,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
58,21582,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
59,21583,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
60,21584,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
61,21585,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
62,21586,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
63,21587,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
64,21588,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
65,21589,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
66,21590,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
67,21591,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
68,21592,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
69,21614,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,9.0, , , , , , , , , , , , , , , , , , , , , , , 
70,21615,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,9.0, , , , , , , , , , , , , , , , , , , , , , , 
71,21616,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,9.0, , , , , , , , , , , , , , , , , , , , , , , 
72,21617,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
73,21618,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
74,21619,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.2,P24295,-,Clostridium symbiosum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
75,26576,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P10860,liver,Rattus norvegicus,25.0,7.7, , , , , , , , , , , , , , , , , , , , , , , 
76,28181,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
77,28182,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
78,28183,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
79,28184,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
80,28185,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
81,28186,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
82,28187,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
83,28188,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
84,28189,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
85,28190,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
86,28191,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
87,28192,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
88,28193,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
89,28194,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
90,28195,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
91,28196,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
92,28197,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
93,28198,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
94,28199,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
95,28200,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
96,28201,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
97,28202,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
98,28203,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
99,28204,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
100,28205,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
101,28206,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
102,28207,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
103,28208,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
104,28209,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
105,28210,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
106,28211,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
107,28212,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
108,28213,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
109,28214,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
110,28215,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
111,28216,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
112,28217,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
113,28218,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
114,28219,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
115,28220,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
116,28221,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
117,28222,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
118,28223,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
119,28224,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
120,28225,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
121,28226,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
122,28227,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
123,28228,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
124,28229,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
125,28230,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
126,28231,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
127,28232,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
128,28233,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
129,28234,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
130,28235,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
131,28236,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
132,28237,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
133,28238,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
134,28239,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
135,28240,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
136,28241,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
137,28242,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
138,28243,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
139,28244,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
140,28245,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
141,28246,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
142,28247,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
143,28248,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
144,28249,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
145,28250,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
146,28251,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
147,28252,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
148,28253,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
149,28254,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
150,28255,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
151,28256,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
152,28257,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
153,28258,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
154,28259,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
155,28260,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
156,28261,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
157,28262,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
158,28263,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
159,28264,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
160,28265,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
161,28266,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
162,28267,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
163,28268,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
164,28269,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
165,28270,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
166,28271,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
167,28272,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3, ,liver,Spermophilus richardsonii,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
168,28273,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
169,28274,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,37.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
170,28275,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P00366,liver,Bos taurus,5.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
171,32336,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P80053,-,Sulfolobus solfataricus,70.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
172,32337,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P80053,-,Sulfolobus solfataricus,70.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
173,32340,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P80053,-,Sulfolobus solfataricus,70.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
174,32341,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P80053,-,Sulfolobus solfataricus,70.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
175,32407,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P80319,-,Pyrococcus furiosus,85.0,7.15, , , , , , , , , , , , , , , , , , , , , , , 
176,32408,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P80319,-,Pyrococcus furiosus,85.0,7.15, , , , , , , , , , , , , , , , , , , , , , , 
177,32412,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P80319,-,Pyrococcus furiosus,85.0,7.15, , , , , , , , , , , , , , , , , , , , , , , 
178,32413,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P80319,-,Pyrococcus furiosus,85.0,7.15, , , , , , , , , , , , , , , , , , , , , , , 
179,32428,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P10860,liver,Rattus norvegicus,22.0,9.5, , , , , , , , , , , , , , , , , , , , , , , 
180,32430,L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3,1.4.1.3,P10860,liver,Rattus norvegicus,22.0,9.5, , , , , , , , , , , , , , , , , , , , , , , 
